epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,93.3534,1.65007,0.60684,0.86524,0.5248,0.13889,0.2161,0.05297,3.32902,2.51278,1.7061,0.000487162,0.000487162,0.000487162
43,95.4589,1.93285,0.81171,0.97884,0.17667,0.36806,0.21003,0.05332,3.25305,2.46571,1.70468,0.000490728,0.000490728,0.000490728
44,97.33,2.22254,0.97581,1.07444,0.17667,0.36806,0.21003,0.05332,3.25305,2.46571,1.70468,0.000493898,0.000493898,0.000493898
45,99.294,2.10267,0.81315,0.97386,0.26667,0.55556,0.34056,0.10447,2.85756,2.15255,1.5293,0.000496672,0.000496672,0.000496672
46,101.165,1.77987,0.87895,0.85497,0.26667,0.55556,0.34056,0.10447,2.85756,2.15255,1.5293,0.00049905,0.00049905,0.00049905
47,102.921,1.73707,0.83549,1.00437,0.71199,0.69444,0.7539,0.30812,2.21066,1.30507,1.25377,0.000501032,0.000501032,0.000501032
48,104.717,1.58751,0.68294,0.88459,0.71199,0.69444,0.7539,0.30812,2.21066,1.30507,1.25377,0.000502618,0.000502618,0.000502618
49,106.898,1.45077,0.69499,0.87181,0.75593,0.88194,0.8537,0.40335,1.91142,1.65718,1.16594,0.000503808,0.000503808,0.000503808
50,109.895,1.6199,0.68565,0.8468,0.75593,0.88194,0.8537,0.40335,1.91142,1.65718,1.16594,0.000504602,0.000504602,0.000504602
51,113.157,1.58845,0.79641,0.91681,0.70799,0.89239,0.84784,0.39327,1.96482,1.85287,1.19707,0.000505,0.000505,0.000505
52,117.776,1.70674,0.63133,0.90194,0.70799,0.89239,0.84784,0.39327,1.96482,1.85287,1.19707,0.000505002,0.000505002,0.000505002
53,119.631,1.54916,0.66477,0.90873,0.70799,0.89239,0.84784,0.39327,1.96482,1.85287,1.19707,0.000504608,0.000504608,0.000504608
54,121.446,1.49404,0.64441,0.89423,0.70057,0.88889,0.81929,0.36598,2.03653,1.69824,1.22931,0.000503818,0.000503818,0.000503818
55,124.615,1.87212,0.61978,0.86305,0.70057,0.88889,0.81929,0.36598,2.03653,1.69824,1.22931,0.000502632,0.000502632,0.000502632
56,127.954,1.54137,0.6051,0.88468,0.70057,0.88889,0.81929,0.36598,2.03653,1.69824,1.22931,0.00050105,0.00050105,0.00050105
57,129.695,3.53725,0.98734,0.93625,0.71205,0.86806,0.78622,0.34389,2.08963,1.46783,1.24189,0.000499072,0.000499072,0.000499072
58,135.034,1.53799,0.63274,0.90383,0.71205,0.86806,0.78622,0.34389,2.08963,1.46783,1.24189,0.000496698,0.000496698,0.000496698
59,136.794,3.1303,0.91061,0.89693,0.71205,0.86806,0.78622,0.34389,2.08963,1.46783,1.24189,0.000493928,0.000493928,0.000493928
60,138.687,3.23067,0.90813,0.89205,0.67846,0.8125,0.73939,0.30456,2.1365,1.38883,1.24315,0.000490762,0.000490762,0.000490762
61,140.479,2.01218,0.64721,0.83271,0.67846,0.8125,0.73939,0.30456,2.1365,1.38883,1.24315,0.0004872,0.0004872,0.0004872
62,142.437,1.44478,0.65208,0.89849,0.67846,0.8125,0.73939,0.30456,2.1365,1.38883,1.24315,0.000483242,0.000483242,0.000483242
63,144.342,1.51735,0.68852,0.97034,0.61362,0.70833,0.65498,0.27316,2.10861,1.37619,1.20613,0.000478888,0.000478888,0.000478888
64,149.757,1.91157,0.70196,0.81808,0.61362,0.70833,0.65498,0.27316,2.10861,1.37619,1.20613,0.000474138,0.000474138,0.000474138
65,151.714,2.6214,0.75766,0.84569,0.61362,0.70833,0.65498,0.27316,2.10861,1.37619,1.20613,0.000468992,0.000468992,0.000468992
66,155.189,1.57578,0.67632,0.96515,0.59732,0.55627,0.56587,0.23648,2.10532,1.37064,1.19644,0.00046345,0.00046345,0.00046345
67,157.067,1.44293,0.63437,0.91582,0.59732,0.55627,0.56587,0.23648,2.10532,1.37064,1.19644,0.000457512,0.000457512,0.000457512
68,159.312,1.61189,0.70333,0.9217,0.59732,0.55627,0.56587,0.23648,2.10532,1.37064,1.19644,0.000451178,0.000451178,0.000451178
69,161.107,2.02498,0.73676,0.87383,0.64912,0.45833,0.5355,0.22398,2.1293,1.35231,1.20181,0.000444448,0.000444448,0.000444448
70,165.769,1.5194,0.67328,0.9362,0.64912,0.45833,0.5355,0.22398,2.1293,1.35231,1.20181,0.000437322,0.000437322,0.000437322
71,167.645,1.44574,0.62553,0.93042,0.64912,0.45833,0.5355,0.22398,2.1293,1.35231,1.20181,0.0004298,0.0004298,0.0004298
72,169.552,2.3628,0.70667,0.80088,0.68021,0.42839,0.53867,0.2181,2.15788,1.31502,1.20846,0.000421882,0.000421882,0.000421882
73,172.719,1.31633,0.60855,0.92146,0.68021,0.42839,0.53867,0.2181,2.15788,1.31502,1.20846,0.000413568,0.000413568,0.000413568
74,174.484,1.36806,0.61215,0.91504,0.68021,0.42839,0.53867,0.2181,2.15788,1.31502,1.20846,0.000404858,0.000404858,0.000404858
75,176.413,1.3512,0.59684,0.91373,0.57777,0.53217,0.5701,0.21823,2.21847,1.3064,1.22486,0.000395752,0.000395752,0.000395752
76,178.302,1.52992,0.655,0.88029,0.57777,0.53217,0.5701,0.21823,2.21847,1.3064,1.22486,0.00038625,0.00038625,0.00038625
77,180.117,1.38173,0.59648,0.92857,0.57777,0.53217,0.5701,0.21823,2.21847,1.3064,1.22486,0.000376352,0.000376352,0.000376352
78,182.247,1.30313,0.62507,0.88571,0.5958,0.71653,0.6456,0.25049,2.12899,1.29315,1.19185,0.000366058,0.000366058,0.000366058
79,184.045,1.49743,0.66598,0.87709,0.5958,0.71653,0.6456,0.25049,2.12899,1.29315,1.19185,0.000355368,0.000355368,0.000355368
80,185.904,1.8884,0.65844,0.81042,0.5958,0.71653,0.6456,0.25049,2.12899,1.29315,1.19185,0.000344282,0.000344282,0.000344282
81,187.696,1.80572,1.02143,0.95478,0.64321,0.72222,0.69768,0.29316,2.00464,1.19391,1.15274,0.0003328,0.0003328,0.0003328
82,189.703,1.41812,0.60136,0.90227,0.64321,0.72222,0.69768,0.29316,2.00464,1.19391,1.15274,0.000320922,0.000320922,0.000320922
83,191.729,1.56351,0.626,0.84715,0.64321,0.72222,0.69768,0.29316,2.00464,1.19391,1.15274,0.000308648,0.000308648,0.000308648
84,193.545,1.45435,0.6421,0.85527,0.66824,0.74306,0.72017,0.31185,1.97462,1.17556,1.14785,0.000295978,0.000295978,0.000295978
85,195.484,1.75488,0.89011,0.96987,0.66824,0.74306,0.72017,0.31185,1.97462,1.17556,1.14785,0.000282912,0.000282912,0.000282912
86,199.954,1.45656,0.60845,0.87746,0.66824,0.74306,0.72017,0.31185,1.97462,1.17556,1.14785,0.00026945,0.00026945,0.00026945
87,201.737,1.54826,0.5866,0.84579,0.66824,0.74306,0.72017,0.31185,1.97462,1.17556,1.14785,0.000255592,0.000255592,0.000255592
88,203.731,2.71624,0.77901,0.83761,0.74169,0.72222,0.77894,0.34523,1.93341,1.06501,1.14107,0.000241338,0.000241338,0.000241338
